iso3,label,value,metric,note
AUS,2025-12,12,규제 대상 연령대 중 우회 이용자 비율,VPN·연령 허위 입력·성인 명의 계정 사용을 포함한 설문 기반 추정치
AUS,2026-01,24,,
AUS,2026-02,31,,
AUS,2026-03,36,,
AUS,2026-04,38,,
AUS,2026-05,41,,
AUS,2026-06,43,,
AUS,2026-07,43,,
GBR,2025-07,18,연령 확인 우회 시도 비율,연령 확인 의무 시행 직후 VPN 앱 다운로드가 급증한 시점을 포함
GBR,2025-09,34,,
GBR,2025-11,39,,
GBR,2026-01,41,,
GBR,2026-03,44,,
GBR,2026-05,46,,
GBR,2026-07,47,,
BRA,2026-03,9,규제 대상 연령대 중 우회 이용자 비율,시행 후 5개월간의 추이
BRA,2026-04,21,,
BRA,2026-05,28,,
BRA,2026-06,33,,
BRA,2026-07,35,,
VNM,2025-01,22,실명 인증 우회 이용 비율,타인 명의 계정 사용 및 국외 서비스 이용을 포함
VNM,2025-04,35,,
VNM,2025-07,44,,
VNM,2025-10,49,,
VNM,2026-01,52,,
VNM,2026-04,54,,
VNM,2026-07,55,,
CHN,2024-11,31,미성년자 모드 우회 비율,성인 계정 도용 및 제3자 앱 이용을 포함
CHN,2025-02,38,,
CHN,2025-05,44,,
CHN,2025-08,47,,
CHN,2025-11,49,,
CHN,2026-02,50,,
CHN,2026-05,51,,
IDN,2025-06,41,연령 확인 우회 비율,전환기 중이어서 집행 강도가 낮음
IDN,2025-12,51,,
IDN,2026-03,57,,
IDN,2026-06,60,,
MYS,2026-01,15,규제 대상 연령대 중 우회 이용자 비율,기존 계정 정리가 진행 중
MYS,2026-03,29,,
MYS,2026-05,37,,
MYS,2026-07,40,,
