date,iso3,country,kind,title,desc
2023-07-07,FRA,프랑스,pass,"""디지털 성년"" 법률 제정","15세 미만의 계정 개설에 보호자 동의를 요구하는 법률이 공포되었으나, EU 통보 절차 미완료로 시행이 보류됨."
2024-03-25,USA,미국(플로리다),pass,HB 3 서명,"14세 미만 계정 금지, 14–15세 보호자 동의를 규정. 2025년 1월 시행 예정이었으나 소송으로 일부 정지."
2024-11-29,AUS,호주,pass,16세 미만 SNS 금지법 통과,상·하원을 통과. 세계 최초로 예외 없는 연령 하한을 채택하며 각국 논의의 기준점이 됨.
2024-12-25,VNM,베트남,enforce,시행령 147호 시행,실명 인증 의무화. 16세 미만은 보호자 명의로만 계정 등록이 가능해짐.
2025-01-01,CHN,중국,enforce,미성년자 모드 전면 적용,단말·앱스토어·앱 3계층에 미성년자 모드 구축 의무가 본격 적용됨.
2025-03-28,IDN,인도네시아,enforce,대통령령 17/2025 시행,연령 단계별 차등 규제가 발효. 다만 2년의 전환기를 두어 집행은 단계적으로 이루어짐.
2025-06-12,USA,미국,block,"연방법원, 주법 집행 정지 결정",표현의 자유 침해 우려를 이유로 복수 주법의 집행이 가처분으로 정지됨.
2025-07-25,GBR,영국,enforce,고신뢰 연령 확인 의무 시행,온라인안전법에 따른 아동 보호 규정이 발효. VPN 다운로드가 급증하는 부작용이 함께 보고됨.
2025-09-17,BRA,브라질,pass,디지털 아동청소년법 공포,16세 미만 계정의 보호자 연동과 연령 확인을 의무화. 6개월 뒤 시행.
2025-11-07,DNK,덴마크,pass,15세 미만 금지 정치 합의,여야가 15세 미만 금지(보호자 동의 시 13세)에 합의. 유럽 내 첫 법제화 사례로 주목받음.
2025-11-26,,유럽연합,debate,"유럽의회, 16세 공동 기준 결의",구속력은 없으나 EU 차원의 최소 연령 16세 도입을 권고하는 결의를 채택.
2025-11-27,MYS,말레이시아,pass,16세 미만 계정 금지 발표,2026년 1월 1일부터 신규 계정 개설을 금지하겠다고 정부가 공식 발표.
2025-12-10,AUS,호주,enforce,16세 미만 SNS 금지 시행,세계 최초로 예외 없는 연령 하한이 실제 집행에 들어감. 시행 첫 주 수십만 개 계정이 비활성화됨.
2026-01-01,MYS,말레이시아,enforce,16세 미만 신규 계정 금지 시행,eKYC 기반 연령 확인이 라이선스 조건으로 부과됨.
2026-02-19,NOR,노르웨이,bill,15세 연령 하한 법안 제출,정부가 개인정보 동의 연령을 15세로 상향하는 법안을 의회에 제출.
2026-03-17,BRA,브라질,enforce,디지털 아동청소년법 시행,플랫폼과 앱스토어에 연령 확인 의무가 발효.
2026-04-08,ESP,스페인,bill,미성년자 디지털 보호법안 심의 개시,계정 개설 최소 연령을 16세로 상향하는 법안이 하원 심의에 들어감.
2026-05-21,NZL,뉴질랜드,pass,16세 미만 제한 법안 통과,호주 모델을 참고한 법안이 의회를 통과. 2026년 12월 시행 예정.
2026-06-30,SGP,싱가포르,bill,16세 미만 계정 제한 방침 발표,총리가 시정연설에서 도입 방침을 밝히고 제도 설계에 착수.
2026-07-15,KOR,대한민국,bill,관련 법안 심사 소위 상정,복수의 개정안이 과방위 정보통신방송법안심사소위에 상정되어 논의가 시작됨.
2026-08-11,AUS,호주,enforce,시행 8개월 효과 평가 발표,대상 연령대의 이용률은 감소했으나 상당수가 우회 수단을 통해 이용을 지속하고 있다는 정부 평가가 공개됨.
